Name,Type,Ownership,Sub-ownership,Eco-region,District
Gonarpura HP,Health Post,Public,Ministry of Health & Population,Terai,Mahottari
Gopalpur HP,Health Post,Public,Ministry of Health & Population,Terai,Dhanusa
Gothkoyalpur HP,Health Post,Public,Ministry of Health & Population,Terai,Dhanusa
Gotihawa HP,Health Post,Public,Ministry of Health & Population,Terai,Kapilbastu
Gourishankar HP,Health Post,Public,Ministry of Health & Population,Terai,Sarlahi
Govindapur HP,Health Post,Public,Ministry of Health & Population,Terai,Siraha
Govindapur HP,Health Post,Public,Ministry of Health & Population,Terai,Siraha
Govindapur HP,Health Post,Public,Ministry of Health & Population,Terai,Siraha
Govindapur HP,Health Post,Public,Ministry of Health & Population,Terai,Morang
Govindapur HP Govindapur,Health Post,Public,Ministry of Health & Population,Terai,Parsa
Gugauli HP,Health Post,Public,Ministry of Health & Population,Terai,Kapilbastu
Gunjanagar HP,Health Post,Public,Ministry of Health & Population,Terai,Chitawan
Guthi Parsauni HP,Health Post,Public,Ministry of Health & Population,Terai,Nawalparasi
Guthi Suryapura HP,Health Post,Public,Ministry of Health & Population,Terai,Nawalparasi
Hadiryapaltuwa HP,Health Post,Public,Ministry of Health & Population,Terai,Rautahat
Hajariya HP,Health Post,Public,Ministry of Health & Population,Terai,Sarlahi
Hajminiya HP,Health Post,Public,Ministry of Health & Population,Terai,Rautahat
Hakpara HP,Health Post,Public,Ministry of Health & Population,Terai,Siraha
Hakui HP,Health Post,Public,Ministry of Health & Population,Terai,Nawalparasi
Haldibari HP,Health Post,Public,Ministry of Health & Population,Terai,Jhapa
Halkhori HP,Health Post,Public,Ministry of Health & Population,Terai,Mahottari
Halwar HP,Health Post,Public,Ministry of Health & Population,Terai,Dang
Hansapur Kathapulla HP,Health Post,Public,Ministry of Health & Population,Terai,Dhanusa
Hanshposha HP,Health Post,Public,Ministry of Health & Population,Terai,Sunsari
Hansipur HP,Health Post,Public,Ministry of Health & Population,Terai,Dang
Hanumanagar HP,Health Post,Public,Ministry of Health & Population,Terai,Siraha
Hanumannagar HP,Health Post,Public,Ministry of Health & Population,Terai,Saptari
Hapur HP,Health Post,Public,Ministry of Health & Population,Terai,Dang
Haraiya HP,Health Post,Public,Ministry of Health & Population,Terai,Bara
Harakatti HP,Health Post,Public,Ministry of Health & Population,Terai,Siraha
Hardauna HP,Health Post,Public,Ministry of Health & Population,Terai,Kapilbastu
Hardiya HP,Health Post,Public,Ministry of Health & Population,Terai,Saptari
Hariharpur Birta HP,Health Post,Public,Ministry of Health & Population,Terai,Parsa
Hariharpur Harinamari HP,Health Post,Public,Ministry of Health & Population,Terai,Mahottari
Hariharpur HP BARA,Health Post,Public,Ministry of Health & Population,Terai,Bara
Hariharpur HP DHANUSA,Health Post,Public,Ministry of Health & Population,Terai,Dhanusa
Hariharpur HP KAPILBASTU,Health Post,Public,Ministry of Health & Population,Terai,Kapilbastu
Hariharpur HP PARSA,Health Post,Public,Ministry of Health & Population,Terai,Parsa
Hariharpur HP SAPTARI,Health Post,Public,Ministry of Health & Population,Terai,Saptari
Harine HP,Health Post,Public,Ministry of Health & Population,Terai,Dhanusa
Haripur HP SAPTARI,Health Post,Public,Ministry of Health & Population,Terai,Saptari
Haripur HP SUNSARI,Health Post,Public,Ministry of Health & Population,Terai,Sunsari
Haripurwa HP,Health Post,Public,Ministry of Health & Population,Terai,Sarlahi
Hariyon HP,Health Post,Public,Ministry of Health & Population,Terai,Sarlahi
Harkathawa HP,Health Post,Public,Ministry of Health & Population,Terai,Sarlahi
Harkathawa HP,Health Post,Public,Ministry of Health & Population,Terai,Sarlahi
Harnaiya HP,Health Post,Public,Ministry of Health & Population,Terai,Rupandehi
Harpatganj HP,Health Post,Public,Ministry of Health & Population,Terai,Parsa
Harpur HP,Health Post,Public,Ministry of Health & Population,Terai,Parsa
Harpur HP,Health Post,Public,Ministry of Health & Population,Terai,Nawalparasi
Hasandaha HP,Health Post,Public,Ministry of Health & Population,Terai,Morang
Hasuliya HP,Health Post,Public,Ministry of Health & Population,Terai,Kailali
Hathausa HP,Health Post,Public,Ministry of Health & Population,Terai,Kapilbastu
Hathihawa HP,Health Post,Public,Ministry of Health & Population,Terai,Kapilbastu
Hathilet HP,Health Post,Public,Ministry of Health & Population,Terai,Mahottari
Hathipur Harbara HP,Health Post,Public,Ministry of Health & Population,Terai,Dhanusa
Hathiyahi HP,Health Post,Public,Ministry of Health & Population,Terai,Rautahat
Hathiyol HP,Health Post,Public,Ministry of Health & Population,Terai,Sarlahi
Hatibangai HP,Health Post,Public,Ministry of Health & Population,Terai,Rupandehi
Hatipharsatikar HP,Health Post,Public,Ministry of Health & Population,Terai,Rupandehi
Hatisarwa HP,Health Post,Public,Ministry of Health & Population,Terai,Mahottari
Hattimuda HP,Health Post,Public,Ministry of Health & Population,Terai,Morang
Hekuli HP,Health Post,Public,Ministry of Health & Population,Terai,Dang
Hempur HP,Health Post,Public,Ministry of Health & Population,Terai,Sarlahi
Hirminiya HP,Health Post,Public,Ministry of Health & Population,Terai,Banke
Hoklabari HP,Health Post,Public,Ministry of Health & Population,Terai,Morang
Holiya HP,Health Post,Public,Ministry of Health & Population,Terai,Banke
Hupsekot HP,Health Post,Public,Ministry of Health & Population,Terai,Nawalparasi
Iharbari HP,Health Post,Public,Ministry of Health & Population,Terai,Rautahat
Inarawa HP,Health Post,Public,Ministry of Health & Population,Terai,Siraha
Inaruwa HP,Health Post,Public,Ministry of Health & Population,Terai,Sunsari
Inaruwa HP Inaruwa,Health Post,Public,Ministry of Health & Population,Terai,Rautahat
Inaruwa HP SaptarI,Health Post,Public,Ministry of Health & Population,Terai,Saptari
Inaruwa Phulbadiya HP,Health Post,Public,Ministry of Health & Population,Terai,Saptari
Inarwa HP,Health Post,Public,Ministry of Health & Population,Terai,Dhanusa
Inarwamal HP,Health Post,Public,Ministry of Health & Population,Terai,Bara
Inarwasira HP,Health Post,Public,Ministry of Health & Population,Terai,Bara
Indarpur HP,Health Post,Public,Ministry of Health & Population,Terai,Banke
Indrapur HP,Health Post,Public,Ministry of Health & Population,Terai,Morang
Ishworpur HP,Health Post,Public,Ministry of Health & Population,Terai,Sarlahi
Itahara HP,Health Post,Public,Ministry of Health & Population,Terai,Morang
Itahari Bishnupur HP,Health Post,Public,Ministry of Health & Population,Terai,Saptari
Itaharwa HP,Health Post,Public,Ministry of Health & Population,Terai,Dhanusa
Itahawa HP,Health Post,Public,Ministry of Health & Population,Terai,Siraha
Itari prasahi HP,Health Post,Public,Ministry of Health & Population,Terai,Siraha
Itatar HP,Health Post,Public,Ministry of Health & Population,Terai,Siraha
Itiyahi HP,Health Post,Public,Ministry of Health & Population,Terai,Bara
Jabdi HP,Health Post,Public,Ministry of Health & Population,Terai,Sarlahi
Jagarnathpur HP,Health Post,Public,Ministry of Health & Population,Terai,Parsa
Jagatpur HP,Health Post,Public,Ministry of Health & Population,Terai,Saptari
Jagatpur HP,Health Post,Public,Ministry of Health & Population,Terai,Chitawan
Jahada HP,Health Post,Public,Ministry of Health & Population,Terai,Nawalparasi
Jahadi HP,Health Post,Public,Ministry of Health & Population,Terai,Kapilbastu
Jaispur HP,Health Post,Public,Ministry of Health & Population,Terai,Banke
Jalpapur HP,Health Post,Public,Ministry of Health & Population,Terai,Sunsari
Jalthal HP,Health Post,Public,Ministry of Health & Population,Terai,Jhapa
Jamadaha HP,Health Post,Public,Ministry of Health & Population,Terai,Siraha
Jamuni HP,Health Post,Public,Ministry of Health & Population,Terai,Bardiya
Jamuni Madhepura HP,Health Post,Public,Ministry of Health & Population,Terai,Saptari
Jamuwad HP,Health Post,Public,Ministry of Health & Population,Terai,Nawalparasi
Janakinagar HP,Health Post,Public,Ministry of Health & Population,Terai,Siraha
Janakinagar HP,Health Post,Public,Ministry of Health & Population,Terai,Siraha
Janakinagar HP,Health Post,Public,Ministry of Health & Population,Terai,Kailali
Janakinagar HP SARLAHI,Health Post,Public,Ministry of Health & Population,Terai,Sarlahi
Jandol HP,Health Post,Public,Ministry of Health & Population,Terai,Saptari
Jankitola HP,Health Post,Public,Ministry of Health & Population,Terai,Parsa
Jante HP,Health Post,Public,Ministry of Health & Population,Terai,Morang
Jatahara HP,Health Post,Public,Ministry of Health & Population,Terai,Rautahat
Jaubari HP,Health Post,Public,Ministry of Health & Population,Terai,Nawalparasi
Jawabhari HP,Health Post,Public,Ministry of Health & Population,Terai,Kapilbastu
Jayanagar HP,Health Post,Public,Ministry of Health & Population,Terai,Rautahat
Jayanagar HP,Health Post,Public,Ministry of Health & Population,Terai,Kapilbastu
Jaymanglapur HP,Health Post,Public,Ministry of Health & Population,Terai,Parsa
Jeetpur HP,Health Post,Public,Ministry of Health & Population,Terai,Parsa
Jethrahiya HP,Health Post,Public,Ministry of Health & Population,Terai,Rautahat
Jhalari HP,Health Post,Public,Ministry of Health & Population,Terai,Kanchanpur
Jhatiyahi HP,Health Post,Public,Ministry of Health & Population,Terai,Dhanusa
Jhauwa Guthi HP,Health Post,Public,Ministry of Health & Population,Terai,Parsa
Jhitakaiya (North) HP,Health Post,Public,Ministry of Health & Population,Terai,Bara
Jhitakaiya (South) HP,Health Post,Public,Ministry of Health & Population,Terai,Bara
Jhojhikataiya HP,Health Post,Public,Ministry of Health & Population,Terai,Dhanusa
Jhunkhunwa HP,Health Post,Public,Ministry of Health & Population,Terai,Rautahat
Jhutaki HP,Health Post,Public,Ministry of Health & Population,Terai,Saptari
Jimuwa HP,Health Post,Public,Ministry of Health & Population,Terai,Kanchanpur
Jingadawa Belbichwa HP,Health Post,Public,Ministry of Health & Population,Terai,Rautahat
Jingadawa HP,Health Post,Public,Ministry of Health & Population,Terai,Sarlahi
Jitpur Bhawanipur HP,Health Post,Public,Ministry of Health & Population,Terai,Bara
Jogada HP,Health Post,Public,Ministry of Health & Population,Terai,Rupandehi
Jowaha (Jokaha) HP,Health Post,Public,Ministry of Health & Population,Terai,Rautahat
Judibela HP,Health Post,Public,Ministry of Health & Population,Terai,Rautahat
Juropani HP,Health Post,Public,Ministry of Health & Population,Terai,Jhapa
Jyamirgadhi HP,Health Post,Public,Ministry of Health & Population,Terai,Jhapa
Kabahigoth HP,Health Post,Public,Ministry of Health & Population,Terai,Bara
Kabahijabdi HP,Health Post,Public,Ministry of Health & Population,Terai,Bara
Kabhre HP,Health Post,Public,Ministry of Health & Population,Terai,Dang
Kabilas HP CHITAWAN,Health Post,Public,Ministry of Health & Population,Terai,Chitawan
Kabilasha HP,Health Post,Public,Ministry of Health & Population,Terai,Saptari
Kabilasi HP,Health Post,Public,Ministry of Health & Population,Terai,Siraha
Kabilasi HP,Health Post,Public,Ministry of Health & Population,Terai,Siraha
Kabilasi HP,Health Post,Public,Ministry of Health & Population,Terai,Sarlahi
Kachan HP,Health Post,Public,Ministry of Health & Population,Terai,Saptari
Kachanapur HP,Health Post,Public,Ministry of Health & Population,Terai,Banke
Kachanari HP,Health Post,Public,Ministry of Health & Population,Terai,Siraha
Kachorwa HP,Health Post,Public,Ministry of Health & Population,Terai,Bara
Kadmaha HP,Health Post,Public,Ministry of Health & Population,Terai,Morang
Kajararamaul HP,Health Post,Public,Ministry of Health & Population,Terai,Dhanusa
Kajarhawa HP,Health Post,Public,Ministry of Health & Population,Terai,Kapilbastu
Kakadi HP,Health Post,Public,Ministry of Health & Population,Terai,Bara
Kakadvitta HP,Health Post,Public,Ministry of Health & Population,Terai,Jhapa
Kakanpur HP,Health Post,Public,Ministry of Health & Population,Terai,Rautahat
Kalaphata HP,Health Post,Public,Ministry of Health & Population,Terai,Banke
Kalika HP BARDIYA,Health Post,Public,Ministry of Health & Population,Terai,Bardiya
Kalika HP KANCHANPUR,Health Post,Public,Ministry of Health & Population,Terai,Kanchanpur
Kalinjor HP,Health Post,Public,Ministry of Health & Population,Terai,Sarlahi
Kalyanpur HP,Health Post,Public,Ministry of Health & Population,Terai,Siraha
Kalyanpur Ka.Ba. HP,Health Post,Public,Ministry of Health & Population,Terai,Siraha
Kamahariya HP,Health Post,Public,Ministry of Health & Population,Terai,Rupandehi
Kamalpur HP,Health Post,Public,Ministry of Health & Population,Terai,Saptari
Kamdi HP,Health Post,Public,Ministry of Health & Population,Terai,Banke
Kanakpatti HP,Health Post,Public,Ministry of Health & Population,Terai,Dhanusa
Kaptangunj HP,Health Post,Public,Ministry of Health & Population,Terai,Sunsari
Karahiya HP,Health Post,Public,Ministry of Health & Population,Terai,Rupandehi
Karaiya HP,Health Post,Public,Ministry of Health & Population,Terai,Bara
Karauta HP,Health Post,Public,Ministry of Health & Population,Terai,Rupandehi
karjanha HP,Health Post,Public,Ministry of Health & Population,Terai,Siraha
Karkach Karmaiya HP,Health Post,Public,Ministry of Health & Population,Terai,Rautahat
Karmahawa HP,Health Post,Public,Ministry of Health & Population,Terai,Rupandehi
Karmaiya HP,Health Post,Public,Ministry of Health & Population,Terai,Sarlahi
Karuniya HP,Health Post,Public,Ministry of Health & Population,Terai,Rautahat
Kaseni HP MORANG,Health Post,Public,Ministry of Health & Population,Terai,Morang
Katahari HP,Health Post,Public,Ministry of Health & Population,Terai,Morang
Kataiya HP,Health Post,Public,Ministry of Health & Population,Terai,Saptari
Kathar HP,Health Post,Public,Ministry of Health & Population,Terai,Chitawan
Kathkuiya HP,Health Post,Public,Ministry of Health & Population,Terai,Banke
Kaule HP CHITAWAN,Health Post,Public,Ministry of Health & Population,Terai,Chitawan
Kauwabankataiya HP,Health Post,Public,Ministry of Health & Population,Terai,Parsa
Kawaswoti HP,Health Post,Public,Ministry of Health & Population,Terai,Nawalparasi
Kechana HP,Health Post,Public,Ministry of Health & Population,Terai,Jhapa
Kerabari HP,Health Post,Public,Ministry of Health & Population,Terai,Morang
Kerbani HP,Health Post,Public,Ministry of Health & Population,Terai,Rupandehi
Keroun HP,Health Post,Public,Ministry of Health & Population,Terai,Morang
Khadakpur HP,Health Post,Public,Ministry of Health & Population,Terai,Saptari
Khadawa Bangai HP,Health Post,Public,Ministry of Health & Population,Terai,Rupandehi
Khailad HP,Health Post,Public,Ministry of Health & Population,Terai,Kailali
Khairala HP,Health Post,Public,Ministry of Health & Population,Terai,Kailali
Khairapur HP,Health Post,Public,Ministry of Health & Population,Terai,Bardiya
Khairbanni HP,Health Post,Public,Ministry of Health & Population,Terai,Mahottari
Khairi Chandanpur HP,Health Post,Public,Ministry of Health & Population,Terai,Bardiya
Khajurakhurda HP,Health Post,Public,Ministry of Health & Population,Terai,Banke
Khajuri Chanha HP,Health Post,Public,Ministry of Health & Population,Terai,Dhanusa
Khanar HP,Health Post,Public,Ministry of Health & Population,Terai,Sunsari
Khariyani HP,Health Post,Public,Ministry of Health & Population,Terai,Dhanusa
Kharukiyahi HP,Health Post,Public,Ministry of Health & Population,Terai,Siraha
Khaskarkado HP,Health Post,Public,Ministry of Health & Population,Terai,Banke
Khaskusma HP,Health Post,Public,Ministry of Health & Population,Terai,Banke
Khayarmara HP,Health Post,Public,Ministry of Health & Population,Terai,Mahottari
Khesarhiya HP,Health Post,Public,Ministry of Health & Population,Terai,Rautahat
Khirauna HP,Health Post,Public,Ministry of Health & Population,Terai,Siraha
Khirwa Muglaha HP,Health Post,Public,Ministry of Health & Population,Terai,Sarlahi
Khojpur HP,Health Post,Public,Ministry of Health & Population,Terai,Saptari
Khoksar Parwaha HP,Health Post,Public,Ministry of Health & Population,Terai,Saptari
Khopawa HP,Health Post,Public,Ministry of Health & Population,Terai,Bara
Khopi HP,Health Post,Public,Ministry of Health & Population,Terai,Mahottari
Khoriya HP,Health Post,Public,Ministry of Health & Population,Terai,Sarlahi
Khudabagar HP,Health Post,Public,Ministry of Health & Population,Terai,Rupandehi
Khudunabari HP,Health Post,Public,Ministry of Health & Population,Terai,Jhapa
Khurhuriya HP,Health Post,Public,Ministry of Health & Population,Terai,Kapilbastu
Khutauna HP,Health Post,Public,Ministry of Health & Population,Terai,Sarlahi
Khuttapiparadhi HP,Health Post,Public,Ministry of Health & Population,Terai,Mahottari
Khutwajabdi HP,Health Post,Public,Ministry of Health & Population,Terai,Bara
Kisannagar HP,Health Post,Public,Ministry of Health & Population,Terai,Mahottari
Kisanpur HP,Health Post,Public,Ministry of Health & Population,Terai,Sarlahi
Ko Barsain HP,Health Post,Public,Ministry of Health & Population,Terai,Saptari
Ko Madhepura HP,Health Post,Public,Ministry of Health & Population,Terai,Saptari
Kocha Bakhari HP,Health Post,Public,Ministry of Health & Population,Terai,Saptari
Kodena HP,Health Post,Public,Ministry of Health & Population,Terai,Sarlahi
Kohabara HP,Health Post,Public,Ministry of Health & Population,Terai,Jhapa
Kohalpur HP,Health Post,Public,Ministry of Health & Population,Terai,Banke
Koilabas HP,Health Post,Public,Ministry of Health & Population,Terai,Dang
Koiladi HP,Health Post,Public,Ministry of Health & Population,Terai,Saptari
Kolhuwa bageya HP,Health Post,Public,Ministry of Health & Population,Terai,Mahottari
Kopawa HP,Health Post,Public,Ministry of Health & Population,Terai,Kapilbastu
Korak HP,Health Post,Public,Ministry of Health & Population,Terai,Chitawan
Korobari HP,Health Post,Public,Ministry of Health & Population,Terai,Jhapa
Kotathar HP,Health Post,Public,Ministry of Health & Population,Terai,Nawalparasi
Kotatulsipur HP,Health Post,Public,Ministry of Health & Population,Terai,Kailali
Krishnanagar HP,Health Post,Public,Ministry of Health & Population,Terai,Kapilbastu
Krishnapur HP,Health Post,Public,Ministry of Health & Population,Terai,Siraha
Krishnapur HP Krishnapur,Health Post,Public,Ministry of Health & Population,Terai,Kanchanpur
Kudawa HP,Health Post,Public,Ministry of Health & Population,Terai,Bara
Kudiya HP,Health Post,Public,Ministry of Health & Population,Terai,Nawalparasi
Kumarkhod HP,Health Post,Public,Ministry of Health & Population,Terai,Jhapa
Kumarwarti HP,Health Post,Public,Ministry of Health & Population,Terai,Nawalparasi
Kumroj HP,Health Post,Public,Ministry of Health & Population,Terai,Chitawan
Kurtha HP,Health Post,Public,Ministry of Health & Population,Terai,Dhanusa
Kushaha Laxminiya HP,Health Post,Public,Ministry of Health & Population,Terai,Siraha
Kushahawa HP,Health Post,Public,Ministry of Health & Population,Terai,Kapilbastu
Kushma HP,Health Post,Public,Ministry of Health & Population,Terai,Nawalparasi
Labani HP,Health Post,Public,Ministry of Health & Population,Terai,Kapilbastu
Labatoli HP,Health Post,Public,Ministry of Health & Population,Terai,Dhanusa
Lagadigadiyani HP,Health Post,Public,Ministry of Health & Population,Terai,Siraha
Lagadigoth HP,Health Post,Public,Ministry of Health & Population,Terai,Siraha
Lagmagadha Guthi HP,Health Post,Public,Ministry of Health & Population,Terai,Dhanusa
Lahan HP,Health Post,Public,Ministry of Health & Population,Terai,Siraha
Lahawarthakari HP,Health Post,Public,Ministry of Health & Population,Terai,Parsa
Lakhanpur HP,Health Post,Public,Ministry of Health & Population,Terai,Jhapa
Lakhanpur HP PARSA,Health Post,Public,Ministry of Health & Population,Terai,Parsa
Lakhantari HP,Health Post,Public,Ministry of Health & Population,Terai,Morang
Lakhauri HP,Health Post,Public,Ministry of Health & Population,Terai,Dhanusa
Lakkad HP,Health Post,Public,Ministry of Health & Population,Terai,Dhanusa
Lalapati HP,Health Post,Public,Ministry of Health & Population,Terai,Saptari
Lalbojhi HP,Health Post,Public,Ministry of Health & Population,Terai,Kailali
Lalmatiya HP,Health Post,Public,Ministry of Health & Population,Terai,Dang
Lalparsa HP,Health Post,Public,Ministry of Health & Population,Terai,Parsa
Lalpur HP,Health Post,Public,Ministry of Health & Population,Terai,Siraha
Lalpur HP,Health Post,Public,Ministry of Health & Population,Terai,Kapilbastu
Langadi HP,Health Post,Public,Ministry of Health & Population,Terai,Parsa
Laukath HP,Health Post,Public,Ministry of Health & Population,Terai,Sarlahi
Launiya HP,Health Post,Public,Ministry of Health & Population,Terai,Saptari
Laximiniya HP,Health Post,Public,Ministry of Health & Population,Terai,Mahottari
Laxminiwas HP,Health Post,Public,Ministry of Health & Population,Terai,Dhanusa
Laxminiya Bairgiya HP,Health Post,Public,Ministry of Health & Population,Terai,Mahottari
Laxminiya HP,Health Post,Public,Ministry of Health & Population,Terai,Siraha
Laxminiya HP,Health Post,Public,Ministry of Health & Population,Terai,Siraha
Laxminiya HP RAUTAHAT,Health Post,Public,Ministry of Health & Population,Terai,Rautahat
Laxmipur (Do) HP,Health Post,Public,Ministry of Health & Population,Terai,Rautahat
Laxmipur Bagewa HP,Health Post,Public,Ministry of Health & Population,Terai,Dhanusa
Laxmipur Belbichawa HP,Health Post,Public,Ministry of Health & Population,Terai,Rautahat
Laxmipur HP,Health Post,Public,Ministry of Health & Population,Terai,Siraha
Laxmipur HP,Health Post,Public,Ministry of Health & Population,Terai,Siraha
Laxmipur HP,Health Post,Public,Ministry of Health & Population,Terai,Siraha
Laxmipur HP,Health Post,Public,Ministry of Health & Population,Terai,Siraha
Laxmipur HP,Health Post,Public,Ministry of Health & Population,Terai,Dang
Laxmipur HP KANCHANPUR,Health Post,Public,Ministry of Health & Population,Terai,Kanchanpur
Laxmipur Kodraha HP,Health Post,Public,Ministry of Health & Population,Terai,Sarlahi
Laxmipur Kotwali HP,Health Post,Public,Ministry of Health & Population,Terai,Bara
Laxmipur Patari HP,Health Post,Public,Ministry of Health & Population,Terai,Siraha
Laxmipur Sukchina HP,Health Post,Public,Ministry of Health & Population,Terai,Sarlahi
Lipanibirta HP,Health Post,Public,Ministry of Health & Population,Terai,Parsa
Lipanimal HP,Health Post,Public,Ministry of Health & Population,Terai,Bara
Lohajara HP,Health Post,Public,Ministry of Health & Population,Terai,Saptari
Lohana HP,Health Post,Public,Ministry of Health & Population,Terai,Dhanusa
Loharpani HP,Health Post,Public,Ministry of Health & Population,Terai,Dang
Lokaha HP,Health Post,Public,Ministry of Health & Population,Terai,Rautahat
Lothar HP,Health Post,Public,Ministry of Health & Population,Terai,Chitawan
Loukahi HP,Health Post,Public,Ministry of Health & Population,Terai,Sunsari
Machi Jhitakaiya HP,Health Post,Public,Ministry of Health & Population,Terai,Dhanusa
Madar HP,Health Post,Public,Ministry of Health & Population,Terai,Siraha
Madhbaliya HP,Health Post,Public,Ministry of Health & Population,Terai,Rupandehi
Madhelee HP,Health Post,Public,Ministry of Health & Population,Terai,Sunsari
Madhesa HP,Health Post,Public,Ministry of Health & Population,Terai,Sunsari
Madhopur HP,Health Post,Public,Ministry of Health & Population,Terai,Rautahat
Madhuban Mathwal HP,Health Post,Public,Ministry of Health & Population,Terai,Parsa
Madhubangoth HP,Health Post,Public,Ministry of Health & Population,Terai,Sarlahi
Madhubani HP,Health Post,Public,Ministry of Health & Population,Terai,Sarlahi
Madhumalla HP,Health Post,Public,Ministry of Health & Population,Terai,Morang
Madhupati HP,Health Post,Public,Ministry of Health & Population,Terai,Saptari
Madhurijabdi HP,Health Post,Public,Ministry of Health & Population,Terai,Bara
Madhuwani HP,Health Post,Public,Ministry of Health & Population,Terai,Rupandehi
Madhuwapur HP,Health Post,Public,Ministry of Health & Population,Terai,Saptari
Madhyeharsahi HP,Health Post,Public,Ministry of Health & Population,Terai,Sunsari
Madikalyanpur HP,Health Post,Public,Ministry of Health & Population,Terai,Chitawan
Mahabhara HP,Health Post,Public,Ministry of Health & Population,Terai,Jhapa
Mahadaiyatapanpur HP,Health Post,Public,Ministry of Health & Population,Terai,Mahottari
Mahadevpatti HP,Health Post,Public,Ministry of Health & Population,Terai,Parsa
Mahadevpuri HP,Health Post,Public,Ministry of Health & Population,Terai,Banke
Mahadewa HP Mahadewa,Health Post,Public,Ministry of Health & Population,Terai,Morang
Mahadewa HP SaptarI,Health Post,Public,Ministry of Health & Population,Terai,Saptari
Mahadewa Portaha HP,Health Post,Public,Ministry of Health & Population,Terai,Siraha
Mahamadpur HP,Health Post,Public,Ministry of Health & Population,Terai,Rautahat
Mahamadpur HP,Health Post,Public,Ministry of Health & Population,Terai,Bardiya
Mahanaur HP,Health Post,Public,Ministry of Health & Population,Terai,Siraha
Maharanijhoda HP,Health Post,Public,Ministry of Health & Population,Terai,Jhapa
Mahendrakot HP,Health Post,Public,Ministry of Health & Population,Terai,Kapilbastu
Mahendranagar HP,Health Post,Public,Ministry of Health & Population,Terai,Sunsari
Maheshpur HP,Health Post,Public,Ministry of Health & Population,Terai,Jhapa
Maheshpur HP,Health Post,Public,Ministry of Health & Population,Terai,Bara
Maheshpur Patari HP,Health Post,Public,Ministry of Health & Population,Terai,Siraha
Maheshpur Pra. Ra HP,Health Post,Public,Ministry of Health & Population,Terai,Siraha
Mahinathpur HP,Health Post,Public,Ministry of Health & Population,Terai,Sarlahi
Mahottari HP,Health Post,Public,Ministry of Health & Population,Terai,Mahottari
Mahuwa (Pra.Khe) HP,Health Post,Public,Ministry of Health & Population,Terai,Dhanusa
Mahuwa (Pra.Ko) HP,Health Post,Public,Ministry of Health & Population,Terai,Dhanusa
Mahuwa HP,Health Post,Public,Ministry of Health & Population,Terai,Kapilbastu
Mahuwan HP,Health Post,Public,Ministry of Health & Population,Terai,Parsa
Mailhi HP,Health Post,Public,Ministry of Health & Population,Terai,Sarlahi
Maina Sahashrabahu HP,Health Post,Public,Ministry of Health & Population,Terai,Saptari
Mainaghat HP,Health Post,Public,Ministry of Health & Population,Terai,Nawalparasi
Mainahiya HP,Health Post,Public,Ministry of Health & Population,Terai,Rupandehi
Mainakaderi HP,Health Post,Public,Ministry of Health & Population,Terai,Saptari
Mainapokhar HP,Health Post,Public,Ministry of Health & Population,Terai,Bardiya
Maisthan HP,Health Post,Public,Ministry of Health & Population,Terai,Mahottari
Majhagawa HP,Health Post,Public,Ministry of Health & Population,Terai,Rupandehi
Majhare HP,Health Post,Public,Ministry of Health & Population,Terai,Morang
Majhariya HP,Health Post,Public,Ministry of Health & Population,Terai,Bara
Majhauliya HP,Health Post,Public,Ministry of Health & Population,Terai,Siraha
Majhaura HP,Health Post,Public,Ministry of Health & Population,Terai,Siraha
Majhorabishnupur HP,Health Post,Public,Ministry of Health & Population,Terai,Mahottari
Makar HP,Health Post,Public,Ministry of Health & Population,Terai,Nawalparasi
Makhanaha HP,Health Post,Public,Ministry of Health & Population,Terai,Dhanusa
Malahi HP,Health Post,Public,Ministry of Health & Population,Terai,Rautahat
Malekpur HP,Health Post,Public,Ministry of Health & Population,Terai,Saptari
Maleth HP,Health Post,Public,Ministry of Health & Population,Terai,Saptari
Malhanama HP,Health Post,Public,Ministry of Health & Population,Terai,Saptari
Malhaniya Gamharia HP,Health Post,Public,Ministry of Health & Population,Terai,Siraha
Malhaniya HP,Health Post,Public,Ministry of Health & Population,Terai,Siraha
Malhaniya HP,Health Post,Public,Ministry of Health & Population,Terai,Saptari
Manaharwa HP,Health Post,Public,Ministry of Health & Population,Terai,Bara
Manara HP,Health Post,Public,Ministry of Health & Population,Terai,Mahottari
Manari HP,Health Post,Public,Ministry of Health & Population,Terai,Nawalparasi
Manau HP,Health Post,Public,Ministry of Health & Population,Terai,Bardiya
Mangalpur HP,Health Post,Public,Ministry of Health & Population,Terai,Chitawan
Manikapur HP,Health Post,Public,Ministry of Health & Population,Terai,Banke
Maniyari HP,Health Post,Public,Ministry of Health & Population,Terai,Parsa
Manmateriya HP,Health Post,Public,Ministry of Health & Population,Terai,Rupandehi
Manpakadi HP,Health Post,Public,Ministry of Health & Population,Terai,Rupandehi
Manpur HP,Health Post,Public,Ministry of Health & Population,Terai,Siraha
Manpur HP DANG,Health Post,Public,Ministry of Health & Population,Terai,Dang
Manpur HP Manpur,Health Post,Public,Ministry of Health & Population,Terai,Kapilbastu
Manpur HP SARLAHI,Health Post,Public,Ministry of Health & Population,Terai,Sarlahi
Manpur Tapara HP,Health Post,Public,Ministry of Health & Population,Terai,Bardiya
Manraja HP,Health Post,Public,Ministry of Health & Population,Terai,Saptari
